,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",robust,10,0.1,1,0.1,6.181462658953485e-07,"[[0.001176646999999864, 0.007897033000000109]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",robust,56,0.1,1,0.1,6.181462658953485e-07,"[[0.0067034560000001076, 0.006460664000000005]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",robust,316,0.1,11,0.05987369392383786,1.3267815044771979e-07,"[[0.03037672300000005, 0.005558713999999965], [0.02951736099999991, 0.005444398999999933], [0.02945636600000001, 0.005368640000000147], [0.028679971000000082, 0.005166543000000079], [0.02959274100000009, 0.005245441000000017], [0.029894083999999932, 0.005018110999999825], [0.02919394399999997, 0.005652273000000152], [0.029144553999999934, 0.005277101000000117], [0.029682733000000017, 0.005423968999999973], [0.02897189999999994, 0.0055681120000001805], [0.02919863300000003, 0.005306399999999822]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",robust,1778,0.1,16,0.046329123015975304,6.14686235362449e-08,"[[0.1704571399999999, 0.005847052000000019], [0.18186565799999999, 0.009464330999999992], [0.17315593899999993, 0.005465615999999951], [0.1624680289999998, 0.005500429000000029], [0.15977187199999987, 0.00538183400000003], [0.16007598300000003, 0.005521982999999953], [0.15801866900000006, 0.0054968720000001525], [0.16332871100000013, 0.005460406999999723], [0.15654079600000026, 0.005723636000000365], [0.15991113499999976, 0.005297194000000172], [0.160508423, 0.005571685000000048], [0.16584302000000006, 0.005303531000000028], [0.16445874000000016, 0.00538196099999988], [0.16718288700000006, 0.005360628000000034], [0.16106766499999958, 0.005334544000000108], [0.16690104699999964, 0.005089432000000116]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",robust,10000,0.1,17,0.04401266686517654,5.2701661104387975e-08,"[[1.0603491409999997, 0.20299900100000023], [0.8986881880000004, 0.10974116199999973], [1.0041567149999997, 0.11518322900000033], [0.994691327, 0.0866353180000008], [1.0264077039999986, 0.10766077000000074], [1.0026225870000012, 0.08470445100000035], [1.0694158130000009, 0.08785937000000033], [1.0375823670000006, 0.0878231490000001], [1.0351956379999994, 0.08356376200000071], [1.048014007999999, 0.09422451300000034], [1.0460377350000005, 0.08176395199999931], [1.0520294240000005, 0.07451231599999986], [1.0718813989999987, 0.07569404499999877], [1.0637563499999985, 0.0952257430000003], [1.0212288769999986, 0.09020940199999927], [1.0539600409999998, 0.09247269499999788], [1.030313108999998, 0.07152875099999889]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",CS,0,0.5,26,0.13808404425017617,1.6275028023561577e-06,"[[0.31361336499999837, 0.00014331500000253072], [0.1775007759999987, 0.00010980999999787855], [0.17618779800000084, 0.00011305800000016575], [0.17768374699999967, 0.00010927499999979773], [0.17679502300000038, 0.00010690299999893682], [0.18017716999999678, 0.00011126800000127446], [0.18282824299999945, 0.00010658400000096435], [0.17345527800000227, 0.00010295299999896201], [0.18499822699999768, 0.0001073840000032078], [0.18321689900000138, 0.00011118599999804246], [0.1791426290000011, 0.00010942600000163338], [0.17545398400000067, 0.00011102899999926308], [0.1752638659999981, 0.00010939699999923391], [0.17471005799999872, 0.00011044400000059795], [0.1731090160000015, 0.00010734399999989819], [0.17407694799999973, 0.00010785099999921499], [0.18123530100000096, 0.00011137699999963502], [0.18289578199999923, 0.00010844099999829382], [0.18804367299999925, 0.0001656329999981665], [0.1814387410000009, 0.00010960699999884582], [0.2024821569999986, 0.0001152839999996047], [0.17749823100000128, 0.00010688700000116569], [0.1900931650000004, 0.00011115499999903022], [0.18013610299999883, 0.00012166600000185213], [0.19067730299999752, 0.00040297299999991765], [0.1896780249999992, 0.00012147200000001135]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",B,0,0.5,29,0.11634651252217876,9.73534529397374e-07,"[[0.20765164200000186, 0.0005143319999980633], [0.19255306799999872, 0.00028986399999908485], [0.21085321900000054, 0.00031830900000073825], [0.20814905699999997, 0.0003197709999973597], [0.1813358220000012, 0.00026025300000043217], [0.20420605700000038, 0.00034204299999984755], [0.19018497600000117, 0.00031303099999746564], [0.17906171799999981, 0.0002616939999988688], [0.179008323999998, 0.0002633100000011268], [0.1785919199999988, 0.0003243079999997178], [0.1819348469999973, 0.0002720160000002636], [0.1821987149999984, 0.000341764999998162], [0.18960615099999956, 0.00032352900000276463], [0.1841957249999986, 0.0002681659999979047], [0.21518220499999785, 0.00031212900000099353], [0.1827838530000001, 0.0003238860000003285], [0.18201431299999982, 0.0002606390000003955], [0.18607524900000172, 0.00026133400000105667], [0.18259671399999888, 0.00031916000000009603], [0.18055227300000354, 0.0002692970000026662], [0.17646099299999918, 0.00032476799999869854], [0.18366156700000147, 0.0002602110000040625], [0.19631641899999863, 0.00035166300000355477], [0.18099747800000188, 0.0002845489999998563], [0.1814196569999993, 0.00027299599999963675], [0.1919981739999983, 0.00028190900000168995], [0.18756924899999916, 0.0002692999999993617], [0.18296828100000084, 0.0003762199999997051], [0.2031866149999999, 0.00029650099999400936]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",CS,10,0.5,18,0.19912907818751321,4.880848191010459e-06,"[[0.14116606500000017, 0.00015795900000625807], [0.1573044579999987, 0.0001556639999975573], [0.14442198200000433, 0.00013356300000566534], [0.12926307300000417, 0.00013839500000045746], [0.1286524339999957, 0.0001380090000040468], [0.1388766359999991, 0.00014240200000159575], [0.1368558520000036, 0.00013966800000275725], [0.12661755599999935, 0.00013668999999794096], [0.13289226599999893, 0.00013714399999997795], [0.1366877560000006, 0.00014159599999885586], [0.1483938000000009, 0.00013432499999765923], [0.1349547140000027, 0.0001947340000043596], [0.1526472400000003, 0.0001554269999957114], [0.13767705899999783, 0.0001428700000047911], [0.13302350500000415, 0.00014141000000478243], [0.13359445200000408, 0.00013931899999874986], [0.12945849399999787, 0.00014366899999629368], [0.13396528999999902, 0.0001340719999944895]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",B,10,0.5,28,0.12459926429179267,1.195742551053962e-06,"[[0.1382007479999956, 0.0003504780000014307], [0.13324314999999842, 0.0003496769999955518], [0.14895699499999893, 0.00029836299999885796], [0.1387425480000033, 0.00029775600000192526], [0.1346112179999963, 0.00029541199999982837], [0.1433558760000011, 0.0003098210000018753], [0.13071055300000012, 0.0003009059999996566], [0.13191614800000195, 0.0003003089999964459], [0.14845986499999952, 0.00030481699999995726], [0.1297738310000014, 0.0003067729999983726], [0.13401146700000055, 0.0003045400000019072], [0.1307650860000038, 0.00039224400000392734], [0.13263513700000118, 0.00030188299999878154], [0.13376827599999785, 0.00028641600000156586], [0.13068405500000324, 0.00030125400000002855], [0.1322157160000046, 0.0002800579999941988], [0.12629767399999992, 0.0002777739999970663], [0.12854875800000087, 0.0002810260000032372], [0.12732186499999898, 0.00026239700000019184], [0.1260656429999969, 0.0002890460000060102], [0.12998095999999748, 0.0003664749999998662], [0.12805936900000603, 0.0002846249999990391], [0.1288077099999967, 0.0002849990000015623], [0.1310825250000036, 0.0002706980000013459], [0.12927123499999738, 0.00028193200000004026], [0.1286656540000024, 0.00032549400000192463], [0.1282815290000059, 0.00029560300000497364], [0.13014411900000056, 0.0002885120000044594]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",CS,28,0.5,18,0.20477213834486163,5.3076691852916414e-06,"[[0.3674806649999951, 0.00014365299999496983], [0.360336083, 0.0001234280000019794], [0.3576540060000042, 0.00012909799999505367], [0.360712165999999, 0.0001250880000043253], [0.3608376289999953, 0.00014118600000045944], [0.32690813699999666, 0.00013027700000378672], [0.36288368000000304, 0.00012719000000060987], [0.3414757859999966, 0.0001261690000049498], [0.33677428700000434, 0.00016899700000294615], [0.3316075629999986, 0.00012525000000351838], [0.34540273000000354, 0.00012536200000567987], [0.35599201899999855, 0.0001281740000038667], [0.35894041999999615, 0.0001685619999989285], [0.3657165830000011, 0.00012440100000077337], [0.35933058499999504, 0.00014266400000195745], [0.34488482700000134, 0.00012563700000356448], [0.35527164999999883, 0.00012605199999882188], [0.38486855499999706, 0.0001453719999986447]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",B,28,0.5,28,0.12330148914712692,1.1587672578538123e-06,"[[0.35882310499999903, 0.00029165600000169434], [0.3564708279999991, 0.0002850290000040445], [0.355256267999998, 0.0002922870000006128], [0.3584115389999951, 0.0002878359999982649], [0.3597963650000011, 0.000300406000000919], [0.3614290459999978, 0.00028032400000199686], [0.360470952, 0.00029732999999509957], [0.36987322299999903, 0.0003001389999965909], [0.3651900569999995, 0.00028636599999742884], [0.38170153600000134, 0.00031476400000229887], [0.3723267489999955, 0.00028441300000281444], [0.35014445899999913, 0.0002900250000053006], [0.35510803500000065, 0.0002831489999977066], [0.37703349499999916, 0.0002986880000008796], [0.35132033200000023, 0.0002958500000005415], [0.36831004399999756, 0.00030060400000309073], [0.36631906299999883, 0.0002932610000030422], [0.36347912299999763, 0.00027550000000076125], [0.35976716799999764, 0.00029090299999978697], [0.3607191430000043, 0.00028673599999962107], [0.36691095699999465, 0.00028930100000224], [0.37236869099999836, 0.0002880699999963099], [0.36620256299999454, 0.00028896100000253], [0.35437931199999895, 0.0002832240000003594], [0.37773178899999493, 0.000289765999994529], [0.36912178800000106, 0.00032660299999776043], [0.38709585000000146, 0.00030259999999771026], [0.3715747949999937, 0.0003085429999956091]]"
0,[0. 0. 0. 0. 0. 0.],"[[10.  0.  0.]
 [ 0. 10.  0.]
 [ 0.  0. 10.]]",CS,79,0.5,21,0.17124523686917736,3.104178966129165e-06,"[[1.0951252549999992, 0.0002140399999959186], [1.1142981710000015, 0.0001295870000035393], [1.0631772480000024, 0.0001802719999943747], [1.027435226999998, 0.00013833300000243298], [1.022855565999997, 0.0001335170000018593], [1.0634160699999953, 0.0001367480000027399], [1.026299563000002, 0.00012863199999912922], [1.0277759550000027, 0.0001263919999985319], [1.0317392999999981, 0.00013206700000978344], [0.9975109330000009, 0.00014705199998843455], [1.061498966000002, 0.0001329189999950131], [1.0388344960000069, 0.00012390099999493032], [1.0063459670000015, 0.00012509500000135176], [0.9829466970000027, 0.00012483599999768558], [0.9914282990000061, 0.0001927499999965221], [0.9898551729999951, 0.00012302599999713948], [1.0054020480000077, 0.00012703299999827777], [1.013658043999996, 0.00012666199999955552], [0.9824969090000053, 0.00012601099999187682], [1.002460143999997, 0.00014301299999885941], [0.9725042350000024, 0.00012732899999434721]]"
